method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,airfoil,airfoil,0.1,68.0373,0.353063121,0.353063121,3,247012
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,auction,auction,0.0001,905.811,0.989395131,0.989395131,47,4645505
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,auction,auction,0.001,416.093,0.979513865,0.979513865,20,2817528
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,auction,auction,0.01,332.622,0.930223109,0.930223109,8,1129000
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,auction,auction,0.1,0.143107,0.854121535,0.854121535,4,496
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,auto_mpg,auto_mpg,0.1,0.508802,0.690938776,0.690938776,3,3954
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,enb-cool,enb-cool,0.001,1001,-1,-1,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,enb-cool,enb-cool,0.01,803.955,0.896626073,0.896626073,4,5917265
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,enb-cool,enb-cool,0.1,0.014857,0.802431069,0.802431069,2,29
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,enb-heat,enb-heat,0.0001,1001,-1,-1,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,enb-heat,enb-heat,0.001,1001,-1,-1,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,enb-heat,enb-heat,0.01,837.828,0.934772083,0.934772083,6,4975896
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,enb-heat,enb-heat,0.1,0.023895,0.791086551,0.791086551,2,54
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,optical,optical,0.0001,1001,-1,-1,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,optical,optical,0.001,231.712,0.998647134,0.998647134,7,2250327
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,optical,optical,0.01,1.1154,0.987754836,0.987754836,4,11406
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,optical,optical,0.1,0.01664,0.959097293,0.959097293,3,198
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,real-estate,real-estate,0.1,11.2976,0.49297523,0.49297523,2,66753
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,servo,servo,0.0001,14.334,0.997878667,0.997878667,49,206242
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,servo,servo,0.001,6.30523,0.987769535,0.987769535,20,128115
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,servo,servo,0.01,6.53026,0.948951217,0.948951217,9,46623
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,servo,servo,0.1,0.032223,0.694627348,0.694627348,3,670
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,sync,sync,0.0001,526.277,0.990732431,0.990732431,28,14723250
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,sync,sync,0.001,328.636,0.987290947,0.987290947,11,8803220
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,sync,sync,0.01,66.1471,0.964080445,0.964080445,6,1378233
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,sync,sync,0.1,0.012942,0.873866241,0.873866241,3,193
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,yacht,yacht,0.0001,1001,-1,-1,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,yacht,yacht,0.001,1001,-1,-1,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,yacht,yacht,0.01,778.68,0.977140083,0.977140083,5,9473851
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,yacht,yacht,0.1,0.169761,0.911807465,0.911807465,3,2225
streed_pwl,1000,9,airfoil,airfoil,0.0001,570.478,0.928903203,0.928903203,24,0
streed_pwl,1000,9,airfoil,airfoil,0.001,451.505,0.926542977,0.926542977,19,0
streed_pwl,1000,9,airfoil,airfoil,0.01,243.587,0.898758368,0.898758368,11,0
streed_pwl,1000,9,airfoil,airfoil,0.1,4.44187,0.66031188,0.66031188,2,0
streed_pwl,1000,9,auction,auction,0.1,0.986496,0.896861442,0.896861442,3,0
streed_pwl,1000,9,auto_mpg,auto_mpg,0.0001,0.121251,0.906008408,0.906008408,5,0
streed_pwl,1000,9,auto_mpg,auto_mpg,0.001,0.111124,0.906008408,0.906008408,5,0
streed_pwl,1000,9,auto_mpg,auto_mpg,0.01,0.126771,0.904132037,0.904132037,4,0
streed_pwl,1000,9,auto_mpg,auto_mpg,0.1,0.001723,0.821478018,0.821478018,1,0
streed_pwl,1000,9,enb-cool,enb-cool,0.0001,511.453,0.977869874,0.977869874,8,0
streed_pwl,1000,9,enb-cool,enb-cool,0.001,482.987,0.976948005,0.976948005,6,0
streed_pwl,1000,9,enb-cool,enb-cool,0.1,0.631296,0.887745246,0.887745246,1,0
streed_pwl,1000,9,enb-heat,enb-heat,0.01,106.09,0.98652403,0.98652403,3,0
streed_pwl,1000,9,enb-heat,enb-heat,0.1,0.01552,0.916153425,0.916153425,1,0
streed_pwl,1000,9,optical,optical,0.0001,4.8468,0.916362811,0.916362811,6,0
streed_pwl,1000,9,optical,optical,0.001,5.09031,0.916362811,0.916362811,6,0
