method,depth,train_data,complexity_penalty,timeout,test_data,time,train_r2,test_r2,leaves,terminal_calls
streed_pwl,5,enb-heat,0.01,1000,enb-heat,101.082,0.9865240300303548,0.9865240300303548,3,0
streed_pwl,5,enb-heat,0.1,1000,enb-heat,0.016044,0.9161534246406696,0.9161534246406696,1,0
streed_pwl,5,optical,0.0001,1000,optical,4.48505,0.9163628109707996,0.9163628109707996,6,0
streed_pwl,5,optical,0.001,1000,optical,4.47872,0.9163628109707996,0.9163628109707996,6,0
streed_pwl,5,optical,0.01,1000,optical,5.4609,0.9095014115195872,0.9095014115195872,5,0
streed_pwl,5,optical,0.1,1000,optical,1.68511,0.8511957498913787,0.8511957498913787,3,0
streed_pwl,5,real-estate,0.0001,1000,real-estate,0.820173,0.757905635510967,0.757905635510967,6,0
streed_pwl,5,real-estate,0.001,1000,real-estate,0.779738,0.757905635510967,0.757905635510967,6,0
streed_pwl,5,real-estate,0.01,1000,real-estate,0.831956,0.757905635510967,0.757905635510967,6,0
streed_pwl,5,real-estate,0.1,1000,real-estate,0.401296,0.5823850445087455,0.5823850445087455,1,0
streed_pwl,5,servo,0.0001,1000,servo,0.206055,0.904757413209224,0.904757413209224,6,0
streed_pwl,5,servo,0.001,1000,servo,0.211673,0.904757413209224,0.904757413209224,6,0
streed_pwl,5,servo,0.01,1000,servo,0.193712,0.904757413209224,0.904757413209224,6,0
streed_pwl,5,servo,0.1,1000,servo,0.09064,0.7094688491655374,0.7094688491655374,3,0
streed_pwl,5,sync,0.0001,1000,sync,0.000867,1.0,1.0,1,0
streed_pwl,5,sync,0.001,1000,sync,0.00078,1.0,1.0,1,0
streed_pwl,5,sync,0.01,1000,sync,0.000725,1.0,1.0,1,0
streed_pwl,5,sync,0.1,1000,sync,0.000748,1.0,1.0,1,0
streed_pwl,5,yacht,0.0001,1000,yacht,1.40256,0.9949186452404376,0.9949186452404376,4,0
streed_pwl,5,yacht,0.001,1000,yacht,1.22561,0.9945600353244606,0.9945600353244606,3,0
streed_pwl,5,yacht,0.01,1000,yacht,0.924136,0.986757864723431,0.986757864723431,2,0
streed_pwl,5,yacht,0.1,1000,yacht,0.452495,0.986757864723431,0.986757864723431,2,0
streed_pwsl_terminal0,5,airfoil,0.0001,1000,airfoil,51.8546,0.8716912757011253,0.871691275701124,32,0
streed_pwsl_terminal0,5,airfoil,0.001,1000,airfoil,37.3217,0.8716912757011253,0.871691275701124,32,0
streed_pwsl_terminal0,5,airfoil,0.01,1000,airfoil,20.2893,0.7534512209135502,0.7534512209135544,11,0
streed_pwsl_terminal0,5,airfoil,0.1,1000,airfoil,9.0135,0.5004251544420055,0.5004251544420015,3,0
streed_pwsl_terminal0,5,auction,0.0001,1000,auction,46.8552,0.9806164513890632,0.9806164513890632,21,0
streed_pwsl_terminal0,5,auction,0.001,1000,auction,47.2956,0.9785248226359337,0.9785248226359337,13,0
streed_pwsl_terminal0,5,auction,0.01,1000,auction,28.3747,0.9541611589450982,0.9541611589450982,7,0
streed_pwsl_terminal0,5,auction,0.1,1000,auction,0.274627,0.8621226557450561,0.8621226557450561,3,0
streed_pwsl_terminal0,5,auto_mpg,0.0001,1000,auto_mpg,21.7806,0.9476724763929196,0.947672476392917,28,0
streed_pwsl_terminal0,5,auto_mpg,0.001,1000,auto_mpg,15.4137,0.9450115200692316,0.9450115200692292,23,0
