algorithm,cost_complexity,dataset,depth,leaves,terminal_calls,time,timeout,train_mse
osrt,0.001,airquality.csv,4,16,0,0.708,100,164.02169034606032
osrt,0.001,airquality.csv,4,16,0,0.708,100,164.02169034606032
osrt,0.005,airquality.csv,4,12,0,0.571,100,179.23400492274234
osrt,0.005,airquality.csv,4,12,0,0.513,100,179.23400492274234
osrt,0.005,airquality.csv,4,12,0,0.503,100,179.23400492274234
osrt,0.01,airquality.csv,4,7,0,0.372,100,213.34727807316452
osrt,0.01,airquality.csv,4,7,0,0.402,100,213.34727807316452
osrt,0.01,airquality.csv,4,7,0,0.356,100,213.34727807316452
osrt,0.1,airquality.csv,4,3,0,0.041,100,471.5254078200126
osrt,0.1,airquality.csv,4,3,0,0.055,100,471.5254078200126
osrt,0.1,airquality.csv,4,3,0,0.05,100,471.5254078200126
osrt,0.0001,airquality.csv,5,32,0,10.279,100,68.70111183709572
osrt,0.0001,airquality.csv,5,32,0,10.841,100,68.70111183709572
osrt,0.0001,airquality.csv,5,32,0,9.182,100,68.70111183709572
osrt,0.001,airquality.csv,5,30,0,6.494,100,69.75891964487687
osrt,0.001,airquality.csv,5,30,0,6.176,100,69.75891964487687
osrt,0.001,airquality.csv,5,30,0,5.881,100,69.75891964487687
osrt,0.005,airquality.csv,5,15,0,3.901,100,114.975896815683
osrt,0.005,airquality.csv,5,15,0,3.997,100,114.975896815683
osrt,0.005,airquality.csv,5,15,0,4.064,100,114.975896815683
osrt,0.01,airquality.csv,5,12,0,2.914,100,136.37761912719085
osrt,0.01,airquality.csv,5,12,0,2.46,100,136.37761912719085
osrt,0.01,airquality.csv,5,12,0,4.902,100,136.37761912719085
osrt,0.1,airquality.csv,5,3,0,0.084,100,471.5254078200126
osrt,0.1,airquality.csv,5,3,0,0.099,100,471.5254078200126
osrt,0.1,airquality.csv,5,3,0,0.067,100,471.5254078200126
osrt,0.0001,airquality.csv,6,60,0,54.248,100,28.940690706897172
osrt,0.0001,airquality.csv,6,60,0,35.958,100,28.940690706897172
osrt,0.0001,airquality.csv,6,60,0,38.362,100,28.940690706897172
osrt,0.001,airquality.csv,6,41,0,31.436,100,39.377305887755746
osrt,0.001,airquality.csv,6,41,0,30.261,100,39.377305887755746
osrt,0.001,airquality.csv,6,41,0,29.236,100,39.377305887755746
osrt,0.005,airquality.csv,6,16,0,17.533,100,102.78084835823005
osrt,0.005,airquality.csv,6,16,0,17.214,100,102.78084835823005
osrt,0.005,airquality.csv,6,16,0,19.255,100,102.78084835823005
osrt,0.01,airquality.csv,6,12,0,16.924,100,129.99750329773758
osrt,0.01,airquality.csv,6,12,0,14.467,100,129.99750329773758
osrt,0.01,airquality.csv,6,12,0,10.951,100,129.99750329773758
osrt,0.1,airquality.csv,6,3,0,0.377,100,471.5254078200126
osrt,0.1,airquality.csv,6,3,0,0.536,100,471.5254078200126
osrt,0.1,airquality.csv,6,3,0,0.043,100,471.5254078200126
osrt,0.0001,airquality.csv,7,69,0,94.469,100,24.459459474192208
osrt,0.0001,airquality.csv,7,-1,-1,101,100,-1
osrt,0.0001,airquality.csv,7,-1,-1,101,100,-1
osrt,0.001,airquality.csv,7,-1,-1,101,100,-1
osrt,0.001,airquality.csv,7,-1,-1,101,100,-1
osrt,0.001,airquality.csv,7,40,0,85.038,100,37.90853712187014
osrt,0.005,airquality.csv,7,16,0,54.558,100,101.86042793675156
osrt,0.005,airquality.csv,7,16,0,46.693,100,101.86042793675156
osrt,0.005,airquality.csv,7,16,0,64.143,100,101.86042793675156
osrt,0.01,airquality.csv,7,12,0,42.449,100,129.99750329773758
osrt,0.01,airquality.csv,7,12,0,70.151,100,129.99750329773758
osrt,0.01,airquality.csv,7,12,0,33.114,100,129.99750329773758
osrt,0.1,airquality.csv,7,3,0,0.09,100,471.5254078200126
osrt,0.1,airquality.csv,7,3,0,0.245,100,471.5254078200126
osrt,0.1,airquality.csv,7,3,0,0.056,100,471.5254078200126
osrt,0.0001,airquality.csv,8,-1,-1,101,100,-1
osrt,0.0001,airquality.csv,8,-1,-1,101,100,-1
osrt,0.0001,airquality.csv,8,-1,-1,101,100,-1
osrt,0.001,airquality.csv,8,-1,-1,101,100,-1
osrt,0.001,airquality.csv,8,-1,-1,101,100,-1
osrt,0.001,airquality.csv,8,-1,-1,101,100,-1
osrt,0.005,airquality.csv,8,-1,-1,101,100,-1
osrt,0.005,airquality.csv,8,-1,-1,101,100,-1
osrt,0.005,airquality.csv,8,-1,-1,101,100,-1
osrt,0.01,airquality.csv,8,12,0,73.331,100,129.99750329773758
osrt,0.01,airquality.csv,8,12,0,55.993,100,129.99750329773758
osrt,0.01,airquality.csv,8,-1,-1,101,100,-1
osrt,0.1,airquality.csv,8,3,0,0.061,100,471.5254078200126
osrt,0.1,airquality.csv,8,3,0,0.656,100,471.5254078200126
